ChemicalId,Kg,RealKg,ScalerId,StartScale,EndScale
58,2640.00,2590.00,1042,2021-05-13 09:48:11.060,2021-05-13 09:48:23.830
64,8000.00,7970.00,1042,2021-05-13 17:24:07.317,2021-05-13 17:27:12.940
58,1500.00,1460.00,1042,2021-05-20 20:02:25.717,2021-05-20 20:02:33.663
153,2040.00,1990.00,1042,2021-05-20 20:02:46.727,2021-05-20 20:03:01.780
58,1020.00,970.00,1042,2021-05-21 18:34:04.123,2021-05-21 18:34:10.620
51,24000.00,23970.00,1042,2021-05-21 20:27:51.970,2021-05-21 20:28:39.800
52,4080.00,4040.00,1042,2021-05-21 21:00:10.380,2021-05-21 21:00:23.767
52,4080.00,4050.00,1042,2021-05-22 00:37:33.650,2021-05-22 00:37:46.563
64,9000.00,8970.00,1042,2021-05-22 00:37:51.917,2021-05-22 00:38:12.217
52,4080.00,4030.00,1052,2021-05-26 01:30:59.560,2021-05-26 01:31:11.920
64,9000.00,8980.00,1052,2021-05-26 01:31:21.270,2021-05-26 01:31:41.620
58,4080.00,4030.00,1052,2021-05-28 22:13:53.623,2021-05-28 22:14:14.753
153,4080.00,4030.00,1052,2021-05-28 22:14:34.137,2021-05-28 22:14:43.940
71,4080.00,4050.00,1052,2021-05-28 22:15:02.200,2021-05-28 22:15:18.397
147,3000.00,2950.00,1052,2021-05-28 22:15:37.140,2021-05-28 22:15:44.970
58,4080.00,4030.00,1053,2021-05-29 08:10:33.353,2021-05-29 08:10:54.450
153,4080.00,4070.00,1053,2021-05-29 08:11:02.690,2021-05-29 08:11:12.877
71,4080.00,4040.00,1053,2021-05-29 08:11:19.957,2021-05-29 08:11:37.070
147,3000.00,2960.00,1053,2021-05-29 08:11:41.820,2021-05-29 08:11:50.000
51,12000.00,11950.00,1053,2021-05-29 13:55:46.567,2021-05-29 13:56:13.433
52,3000.00,2980.00,1053,2021-05-29 13:56:28.020,2021-05-29 13:56:36.990
58,1500.00,1460.00,1053,2021-05-29 15:32:49.750,2021-05-29 15:32:57.487
153,2040.00,2000.00,1053,2021-05-29 15:33:06.830,2021-05-29 15:34:42.480
52,3000.00,2960.00,1042,2021-06-02 02:18:16.537,2021-06-02 02:18:25.140
64,1500.00,1490.00,1042,2021-06-02 02:18:30.310,2021-06-02 02:18:35.263
58,1500.00,1450.00,1042,2021-06-01 18:57:31.527,2021-06-01 18:59:00.680
58,1020.00,970.00,1052,2021-06-02 17:01:10.103,2021-06-02 17:01:16.573
51,24000.00,23970.00,1042,2021-06-02 19:32:21.363,2021-06-02 19:32:47.987
52,4080.00,4050.00,1042,2021-06-02 19:33:01.713,2021-06-02 19:33:14.057
52,4080.00,4060.00,1042,2021-06-03 00:39:29.070,2021-06-03 00:39:41.687
64,9000.00,8980.00,1042,2021-06-03 00:39:48.023,2021-06-03 00:40:08.233
58,2040.00,2010.00,1052,2021-06-08 20:02:03.983,2021-06-08 20:02:18.050
51,12000.00,12010.00,1053,2021-06-10 13:51:37.010,2021-06-10 13:51:59.797
52,2040.00,2010.00,1053,2021-06-10 14:08:23.633,2021-06-10 14:08:31.770
58,510.00,460.00,1053,2021-06-10 14:08:53.320,2021-06-10 14:08:57.730
64,3000.00,2970.00,1052,2021-06-10 20:11:17.620,2021-06-10 20:11:25.507
58,510.00,460.00,1052,2021-06-10 03:17:59.303,2021-06-10 03:18:05.770
51,12000.00,11970.00,1052,2021-06-10 06:26:25.213,2021-06-10 06:26:49.450
52,2040.00,2020.00,1052,2021-06-10 06:26:54.923,2021-06-10 06:27:02.550
52,2040.00,2010.00,1053,2021-06-10 12:14:11.927,2021-06-10 12:14:19.820
64,3000.00,2950.00,1053,2021-06-10 12:14:24.660,2021-06-10 12:14:32.390
58,510.00,460.00,1042,2021-06-09 15:42:26.387,2021-06-09 15:42:31.150
51,12000.00,11980.00,1052,2021-06-09 18:46:54.120,2021-06-09 18:47:18.673
52,2040.00,2030.00,1052,2021-06-09 18:47:26.853,2021-06-09 18:47:34.873
52,2040.00,2030.00,1052,2021-06-10 00:34:29.707,2021-06-10 00:34:37.603
64,3000.00,2990.00,1052,2021-06-10 00:34:39.433,2021-06-10 00:34:49.220
153,2040.00,2030.00,1052,2021-06-12 01:11:52.317,2021-06-12 01:13:00.753
71,2040.00,2000.00,1052,2021-06-12 01:13:15.757,2021-06-12 01:13:23.857
147,1500.00,1500.00,1052,2021-06-12 01:13:37.453,2021-06-12 01:13:42.450
58,510.00,460.00,1052,2021-06-12 01:13:56.510,2021-06-12 01:14:04.547
51,48000.00,47970.00,1052,2021-06-11 21:06:36.313,2021-06-11 21:07:07.883
52,5440.00,5400.00,1052,2021-06-11 21:07:15.247,2021-06-11 21:07:31.723
58,1500.00,1450.00,1053,2021-06-15 19:42:10.690,2021-06-15 19:42:22.060
153,2040.00,2040.00,1053,2021-06-15 19:42:29.153,2021-06-15 19:42:35.080
71,2040.00,2000.00,1053,2021-06-15 19:42:41.617,2021-06-15 19:42:48.100
147,1500.00,1470.00,1053,2021-06-15 19:43:01.103,2021-06-15 19:43:06.160
58,999.00,950.00,1053,2021-06-15 19:35:34.017,2021-06-15 19:35:41.330
153,2040.00,2030.00,1053,2021-06-15 19:35:48.063,2021-06-15 19:35:53.693
71,2040.00,2030.00,1053,2021-06-15 19:35:59.263,2021-06-15 19:36:05.867
147,1500.00,1450.00,1053,2021-06-15 19:36:16.400,2021-06-15 19:36:21.257
52,4080.00,4080.00,1053,2021-06-16 03:49:44.697,2021-06-16 03:49:58.067
58,999.00,960.00,1053,2021-06-16 22:17:13.830,2021-06-16 22:17:20.670
153,2040.00,2000.00,1053,2021-06-16 22:17:23.860,2021-06-16 22:17:29.560
71,2040.00,2080.00,1053,2021-06-16 22:17:33.270,2021-06-16 22:22:26.883
147,1500.00,1460.00,1053,2021-06-16 22:22:36.513,2021-06-16 22:22:42.110
51,48000.00,47950.00,1053,2021-06-23 09:07:26.157,2021-06-23 09:07:46.733
52,5440.00,5390.00,1053,2021-06-23 09:08:02.780,2021-06-23 09:08:17.720
51,12000.00,11960.00,1053,2021-06-22 16:42:22.760,2021-06-22 16:42:46.850
52,2040.00,1990.00,1053,2021-06-22 16:42:52.153,2021-06-22 16:42:59.167
58,1500.00,1450.00,1052,2021-06-22 19:12:50.037,2021-06-22 19:12:59.677
64,3000.00,2980.00,1052,2021-06-22 19:13:38.267,2021-06-22 19:13:46.330
58,2040.00,1990.00,1053,2021-06-23 17:20:54.420,2021-06-23 17:21:05.817
153,2040.00,2010.00,1053,2021-06-23 17:21:17.090,2021-06-23 17:21:22.750
51,32000.00,32000.00,1052,2021-06-24 18:46:48.117,2021-06-24 18:47:03.033
52,5440.00,5400.00,1052,2021-06-24 18:47:11.137,2021-06-24 18:47:26.083
58,2720.00,2670.00,1052,2021-06-24 18:47:51.457,2021-06-24 18:48:05.270
64,8000.00,7970.00,1052,2021-06-24 18:48:24.543,2021-06-24 18:48:42.250
58,3000.00,2950.00,1053,2021-06-25 13:57:41.373,2021-06-25 13:57:56.010
51,24000.00,23990.00,1052,2021-06-25 20:00:42.337,2021-06-25 20:01:04.260
52,4080.00,4030.00,1052,2021-06-25 20:01:08.777,2021-06-25 20:01:21.260
52,4080.00,4060.00,1053,2021-06-26 12:25:23.083,2021-06-26 12:25:34.330
64,6000.00,5980.00,1053,2021-06-26 12:25:41.037,2021-06-26 12:25:54.920
58,999.00,950.00,1052,2021-06-26 02:34:42.950,2021-06-26 02:34:49.813
153,2040.00,1990.00,1052,2021-06-26 02:35:05.100,2021-06-26 02:35:10.520
71,2040.00,1990.00,1052,2021-06-26 02:35:27.710,2021-06-26 02:36:56.757
147,1500.00,1490.00,1052,2021-06-26 02:37:02.510,2021-06-26 02:41:53.540
58,1020.00,970.00,1053,2021-07-01 20:49:17.403,2021-07-01 20:49:26.713
153,2040.00,2030.00,1053,2021-07-01 20:49:31.670,2021-07-01 20:49:37.900
71,2040.00,1990.00,1053,2021-07-01 20:49:45.327,2021-07-01 20:50:05.563
147,1500.00,1470.00,1053,2021-07-01 20:50:11.647,2021-07-01 20:50:17.220
51,12000.00,11950.00,1053,2021-07-01 22:10:59.957,2021-07-01 22:11:23.543
52,2040.00,2040.00,1053,2021-07-01 23:28:09.477,2021-07-01 23:28:15.950
58,1500.00,1450.00,1053,2021-07-01 23:28:24.677,2021-07-01 23:28:50.040
153,2040.00,2010.00,1053,2021-07-01 23:29:04.373,2021-07-01 23:29:10.547
58,1998.00,1950.00,1052,2021-07-02 11:20:47.433,2021-07-02 11:20:59.930
